R,prime_count,D,O,O_over_D,within_window_O_over_D,cross_window_O_over_D,total_over_D,nonempty_windows
500,21949,2301070.500000000000,2175714543.500000000000,945.522765817040,36.642875276239,908.879890540801,1892.045531634081,286
1000,78330,16413646.500000000000,34540801027.500000000000,2104.395329063533,65.718365822407,2038.676963241126,4209.790658127065,555
2000,282843,117900164.500000000000,545567071433.166687011719,4627.364802643398,119.776138317715,4507.588664325684,9255.729605286797,1063
4000,1030580,864688663.166666626930,8637684773229.833007812500,9989.358183090855,217.496252350253,9771.861930740602,19979.716366181710,2056
5561,1910938,2234627676.166666507721,32106364299142.832031250000,14367.657145560308,289.749861749620,14077.907283810688,28736.314291120616,2819
8000,3784079,6394964705.333333015442,136847393633961.500000000000,21399.241425028071,397.552612831971,21001.688812196102,42799.482850056142,3984
10000,5760226,12159574219.500000000000,332803299749498.187500000000,27369.650757654817,484.830774296080,26884.819983358739,54740.301515309635,4940
