sector,N,block_index,cofactor_block,block_endpoint_value,block_norm2,block_norm2_over_N3,inner_prime_block,inner_prime_block_over_N3,corr_prime_block,minus_2_inner_prime_over_block_norm2,inner_cumulative_before_block,inner_cumulative_before_over_N3,minus_2_inner_before_over_block_norm2,cascade_energy_delta,cascade_energy_delta_over_N3,cascade_energy_after,cascade_energy_after_over_N3
high_lambda_16,2048,0,c=1,-296208,38229785847888,4450.53282285668,38229785847888,4450.53282285668,1.0,-2.0,-213055002,-0.02480286662466824,1.1146021212241251e-05,38229359737884,4450.48321712343,38229359739932,4450.483217361849
high_lambda_16,2048,1,1<c<=2,155745,10603692223168,1234.4322427138686,-20133942203082,-2343.899361216696,-0.9999984529796782,3.7975342511528885,-20133829863780,-2343.8862832007,3.797513062438687,-29663967504392,-3453.340323687531,8565392235540,997.1428936743177
high_lambda_16,2048,2,2<c<=4,107074,5020690383625,584.4852868031012,-13854181571961,-1612.8390063486295,-0.9999959071856944,5.51883526502509,-6557681358783,-763.4145858212141,2.6122627996224987,-8094672333941,-942.3438848393271,470719901599,54.79900883499067
high_lambda_16,2048,3,4<c<=8,59411,1550109116995,180.45645172183868,-7697990482543,-896.1640394459246,-0.9999891822996727,9.932191738174042,-853992754473,-99.41784134984482,1.1018485668009326,-157876391951,-18.379230977850966,312843509648,36.41977785713971
high_lambda_16,2048,4,8<c<=16,-25514,288525933771,33.588839435367845,3321092357829,386.6260356536368,0.9999714323148287,-23.021101184373368,-300346960341,-34.96498804783914,2.0819408253220124,-312167986911,-36.34113666031044,675522737,0.07864119682926685
high_lambda_16,2048,5,16<c<=32,46998,979580526972,114.03818230284378,-6119316130317,-712.3821566716069,-0.9999582910563166,12.493748011166646,21806108189,2.5385651026153937,-0.044521318234867886,1023192743350,119.11531250807457,1023868266087,119.19395370490383
high_lambda_16,2048,6,32<c<=64,-31257,435216394162,50.665856590727344,4078745784114,474.8285031078849,0.9999380210862081,-18.743530063786036,-667487992981,-77.70582951849792,3.067384418117953,-899759591800,-104.7458024462685,124108674287,14.448151258635335
high_lambda_16,2048,7,64<c<=128,6824,20313896628,2.364848813507706,-881164177272,-102.58101127948612,-0.9999062463889731,86.75481552440634,50149452569,5.838164660264738,-4.937452768158292,120612801766,14.041178134037182,244721476053,28.489329392672516
high_lambda_16,2048,8,128<c<=256,-2725,4186377002,0.48735842597670853,394646797349,45.94293392135296,0.9864804484495635,-188.53858463318588,-31691527516,-3.6893793749623,15.140312256091455,-59196678030,-6.891400323947892,185524798023,21.597929068724625
high_lambda_16,2048,9,256<c<=512,3003,3004669001,0.3497895087348297,-272162601200,-31.683896807953715,-0.8030252406943643,181.15978905458147,18835168937,2.1927022534655407,-12.537267120425822,40675006875,4.735194015665911,226199804898,26.333123084390536
high_lambda_16,2048,10,512<c<=1024,-6123,39416252726,4.588655746309087,1147244025174,133.55678240465932,0.9345815540119509,-58.21172464815498,-86866770001,-10.112622985732742,4.407662524636716,-134317287276,-15.636590225156397,91882517622,10.69653285923414
high_lambda_16,2048,11,1024<c<=2048,-19260,198377467805,23.094176757731475,2706693079347,315.1005459189182,0.9828605612359133,-27.288311614175964,-132144499725,-15.383644463145174,1.3322531151057406,-65911531645,-7.673112168558873,25970985977,3.023420690675266
high_lambda_16,2048,12,2048<c<=4096,-5201,9497903135,1.105701450142078,-186995896441,-21.76918746449519,-0.31032536547717776,39.37624837463664,-9800933813,-1.1409788640448824,2.063810016525295,-10103964491,-1.1762562779476866,15867021486,1.8471644127275795
high_lambda_16,2048,13,4096<c<=8192,3303,5547757411,0.6458439644193277,-456646395967,-53.16063714760821,-0.9915631320977057,164.62377935328217,-8985216240,-1.0460168402642012,3.2392246359526338,-12422675069,-1.4461897161090747,3444346417,0.4009746966185048
high_lambda_16,2048,14,8192<c<=16384,5291,7559337752,0.880022737197578,-500584738905,-58.27573348127771,-0.9311824831059198,132.44142683598403,-4778736991,-0.5563182047335431,1.2643268888827393,-1998136230,-0.23261367226950824,1446210187,0.16836102434899658
high_lambda_16,2048,15,16384<c<=32768,289,212228853,0.02470669022295624,68743944702,8.00284844613634,0.7631875962588972,-647.8284524489231,-457607497,-0.05327252403367311,4.312396646651999,-702986141,-0.08183835784438998,743224046,0.0865226665046066
high_lambda_16,2048,16,32768<c<=65536,-718,75093904,0.008742081001400948,41220149968,4.798657024279237,0.7693187075623071,-1097.8294581142034,-172241110,-0.02005150425247848,4.587352656481943,-269388316,-0.03136092750355601,473835730,0.05516173900105059
high_lambda_16,2048,17,65536<c<=131072,48,879427,0.0001023787772282958,-4777094047,-0.5561269408790395,-0.8238781045758296,10864.105939435563,11381931,0.001325031160376966,-25.88487958636703,23643289,0.002752441097982228,497479019,0.05791418009903282
high_lambda_16,2048,18,131072<c<=262144,-1,110,1.280568540096283e-08,14493509,0.0016872665146365762,0.22349935253286288,-263518.34545454546,-57383,-6.6802604123950005e-06,1043.3272727272727,-114656,-1.3347715139389038e-05,497364363,0.05790083238389343
high_lambda_16,2048,19,262144<c<=524288,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,497364363,0.05790083238389343
high_lambda_16,2048,20,524288<c<=1048576,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,497364363,0.05790083238389343
