sector,N,cofactor_cutoff,number_of_blocks,top_eigenvalue_share,lambda2_over_lambda1
all,4096,32,6,0.9999981010360324,1.8925805593268857e-06
all,4096,64,7,0.9999975193430999,2.469564694984512e-06
all,4096,1024,11,0.9999788031889761,2.0484019355022406e-05
all,4096,1048576,21,0.9996326946861379,0.00026861564072190006
