sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
all,4096,2,2<c<=4,16,32768<c<=65536,781620385926,11.374073596758535,0.5789211323142648
all,4096,2,2<c<=4,17,65536<c<=131072,-926578132273,-13.483486433295184,-0.9052117449973978
all,4096,2,2<c<=4,18,131072<c<=262144,-2741151259,-0.03988900074909907,-0.0372202354400593
all,4096,2,2<c<=4,19,262144<c<=524288,10379603831,0.15104311505274381,0.5809921189775303
all,4096,2,2<c<=4,20,524288<c<=1048576,-55262917,-0.0008041812834562734,-0.14345768356822852
all,4096,3,4<c<=8,0,c=1,-200169112892571,-2912.8439621500875,-0.9999927589321552
all,4096,3,4<c<=8,1,1<c<=2,104911183864385,1526.6586541021388,0.9999971837515638
all,4096,3,4<c<=8,2,2<c<=4,71971566235235,1047.3241307079297,0.9999988843376927
all,4096,3,4<c<=8,3,4<c<=8,39793097495972,579.0657814355218,1.0
all,4096,3,4<c<=8,4,8<c<=16,-17030543406509,-247.827023944541,-0.9999962344919309
all,4096,3,4<c<=8,5,16<c<=32,31226331345668,454.40292663505534,0.9999922814759381
all,4096,3,4<c<=8,6,32<c<=64,-20722823113333,-301.55676523766306,-0.9999814464243958
all,4096,3,4<c<=8,7,64<c<=128,4516459975890,65.72314270146308,0.999984854414508
all,4096,3,4<c<=8,8,128<c<=256,-1706209677735,-24.828618592218845,-0.9972227486855167
all,4096,3,4<c<=8,9,256<c<=512,2444800611199,35.576531244427315,0.9901987140956062
all,4096,3,4<c<=8,10,512<c<=1024,-2444241885643,-35.56840071750048,-0.9276205552203461
all,4096,3,4<c<=8,11,1024<c<=2048,-6960023593175,-101.28167331531586,-0.954760017107322
all,4096,3,4<c<=8,12,2048<c<=4096,-8563946464314,-124.62182296896935,-0.965850897090754
all,4096,3,4<c<=8,13,4096<c<=8192,-3472093864903,-50.525615587001084,-0.7437078711334116
all,4096,3,4<c<=8,14,8192<c<=16384,4345407232124,63.23399767460069,0.9947717240844378
all,4096,3,4<c<=8,15,16384<c<=32768,1959652609034,28.516698643710697,0.9510626719785259
all,4096,3,4<c<=8,16,32768<c<=65536,431466406237,6.278662567448919,0.57799516397455
all,4096,3,4<c<=8,17,65536<c<=131072,-511980863812,-7.450302128738258,-0.9046395171166729
all,4096,3,4<c<=8,18,131072<c<=262144,-1491537369,-0.02170472535362933,-0.036629749284842375
all,4096,3,4<c<=8,19,262144<c<=524288,5732113369,0.08341322782507632,0.5803071576702497
all,4096,3,4<c<=8,20,524288<c<=1048576,-30494877,-0.00044375886500347406,-0.14317611942527111
all,4096,4,8<c<=16,0,c=1,85667006237395,1246.6190126345464,0.9999792445190097
all,4096,4,8<c<=16,1,1<c<=2,-44899335926461,-653.3713302118267,-0.9999873631990426
all,4096,4,8<c<=16,2,2<c<=4,-30802084301225,-448.2293196084356,-0.9999914156042075
all,4096,4,8<c<=16,3,4<c<=8,-17030543406509,-247.827023944541,-0.9999962344919309
all,4096,4,8<c<=16,4,8<c<=16,7288741296255,106.06514546459948,1.0
all,4096,4,8<c<=16,5,16<c<=32,-13364299496168,-194.47615335474256,-0.999998823124916
all,4096,4,8<c<=16,6,32<c<=64,8869042618569,129.06155634218885,0.9999939422812968
all,4096,4,8<c<=16,7,64<c<=128,-1932939681943,-28.12797439318092,-0.9999796530965817
all,4096,4,8<c<=16,8,128<c<=256,730347599881,10.627956360709504,0.9973945425949591
all,4096,4,8<c<=16,9,256<c<=512,-1045988056322,-15.221129525481956,-0.9898815806743105
all,4096,4,8<c<=16,10,512<c<=1024,1047108355363,15.237432022157009,0.928528870428695
all,4096,4,8<c<=16,11,1024<c<=2048,2980899353148,43.37779469130328,0.9554510227596856
all,4096,4,8<c<=16,12,2048<c<=4096,3663681645983,53.31358473606815,0.9654537586749118
all,4096,4,8<c<=16,13,4096<c<=8192,1482857670345,21.578419114594,0.742143680265154
all,4096,4,8<c<=16,14,8192<c<=16384,-1859290765434,-27.056241603480885,-0.9945299508327836
all,4096,4,8<c<=16,15,16384<c<=32768,-838002163631,-12.19453644634632,-0.950282631033101
all,4096,4,8<c<=16,16,32768<c<=65536,-184108278309,-2.6791280587931396,-0.5762728234649136
all,4096,4,8<c<=16,17,65536<c<=131072,218869507488,3.18497051903978,0.9036176223572324
all,4096,4,8<c<=16,18,131072<c<=262144,615895674,0.008962461637565866,0.0353414664602771
all,4096,4,8<c<=16,19,262144<c<=524288,-2447303761,-0.03561295686813537,-0.5789067837725489
all,4096,4,8<c<=16,20,524288<c<=1048576,12990278,0.0001890334242489189,0.14250816625358548
all,4096,5,16<c<=32,0,c=1,-157073836733681,-2285.725156742861,-0.999970234758659
all,4096,5,16<c<=32,1,1<c<=2,82324862461613,1197.9844197283528,0.9999802739488528
all,4096,5,16<c<=32,2,2<c<=4,56477010433164,821.8486681749928,0.9999854738573869
all,4096,5,16<c<=32,3,4<c<=8,31226331345668,454.40292663505534,0.9999922814759381
all,4096,5,16<c<=32,4,8<c<=16,-13364299496168,-194.47615335474256,-0.999998823124916
all,4096,5,16<c<=32,5,16<c<=32,24504220160230,356.58333450890495,1.0
all,4096,5,16<c<=32,6,32<c<=64,-16261941968563,-236.64240097514994,-0.9999973734239824
all,4096,5,16<c<=32,7,64<c<=128,3544145511779,51.57410504440486,0.9999775059388214
all,4096,5,16<c<=32,8,128<c<=256,-1339231062683,-19.48837689535867,-0.9974674219045109
all,4096,5,16<c<=32,9,256<c<=512,1917584584869,27.90452832223673,0.989730314400282
all,4096,5,16<c<=32,10,512<c<=1024,-1920853664021,-27.952099684931454,-0.9289747118942517
all,4096,5,16<c<=32,11,1024<c<=2048,-5467650876609,-79.56479205471987,-0.9558015222464173
all,4096,5,16<c<=32,12,2048<c<=4096,-6715957474395,-97.73004384471278,-0.9652226652221012
all,4096,5,16<c<=32,13,4096<c<=8192,-2716195911331,-39.52585264532536,-0.7414048825049413
all,4096,5,16<c<=32,14,8192<c<=16384,3408694803579,49.603037821056205,0.9944077445414613
all,4096,5,16<c<=32,15,16384<c<=32768,1535885896670,22.35008136878605,0.9498880607665766
all,4096,5,16<c<=32,16,32768<c<=65536,337103946136,4.905508047319017,0.5754723792974406
all,4096,5,16<c<=32,17,65536<c<=131072,-401077718641,-5.8364489616506035,-0.9030957371629159
all,4096,5,16<c<=32,18,131072<c<=262144,-1116815758,-0.01625180823612027,-0.034951415636867066
all,4096,5,16<c<=32,19,262144<c<=524288,4483164778,0.0652386338042561,0.5783773642005374
all,4096,5,16<c<=32,20,524288<c<=1048576,-23808837,-0.00034646417771000415,-0.14245093797211184
all,4096,6,32<c<=64,0,c=1,104238557181206,1516.8706476281804,0.9999515327615731
all,4096,6,32<c<=64,1,1<c<=2,-54633225393741,-795.0180645819783,-0.9999645364946604
all,4096,6,32<c<=64,2,2<c<=4,-37479893681291,-545.404235618349,-0.999971632808499
all,4096,6,32<c<=64,3,4<c<=8,-20722823113333,-301.55676523766306,-0.9999814464243958
all,4096,6,32<c<=64,4,8<c<=16,8869042618569,129.06155634218885,0.9999939422812968
all,4096,6,32<c<=64,5,16<c<=32,-16261941968563,-236.64240097514994,-0.9999973734239824
all,4096,6,32<c<=64,6,32<c<=64,10792106178658,157.04581424736534,1.0
all,4096,6,32<c<=64,7,64<c<=128,-2352004919537,-34.22617620580422,-0.9999637358155744
all,4096,6,32<c<=64,8,128<c<=256,888894968075,12.935124222349259,0.997610455314328
all,4096,6,32<c<=64,9,256<c<=512,-1272220974993,-18.51325177984836,-0.9894463077937902
all,4096,6,32<c<=64,10,512<c<=1024,1275772935124,18.56493960256921,0.9297160627329367
all,4096,6,32<c<=64,11,1024<c<=2048,3630528669233,52.831145428834134,0.9563220085159615
all,4096,6,32<c<=64,12,2048<c<=4096,4455378028490,64.83428338091471,0.9648759262158966
all,4096,6,32<c<=64,13,4096<c<=8192,1799652645071,26.18839273157937,0.7402022106200854
all,4096,6,32<c<=64,14,8192<c<=16384,-2261667884007,-32.9115993227897,-0.9941972295441122
all,4096,6,32<c<=64,15,16384<c<=32768,-1018605779240,-14.82266495062504,-0.9492638679905199
all,4096,6,32<c<=64,16,32768<c<=65536,-223208097891,-3.248105318794842,-0.574166608830317
all,4096,6,32<c<=64,17,65536<c<=131072,265936477831,3.8698850815271726,0.9022990641902883
all,4096,6,32<c<=64,18,131072<c<=262144,721085807,0.0104931795358425,0.03400458846117995
all,4096,6,32<c<=64,19,262144<c<=524288,-2969699065,-0.0432148090476403,-0.5773063926029309
all,4096,6,32<c<=64,20,524288<c<=1048576,15758034,0.00022930957493372262,0.14206807725300105
all,4096,7,64<c<=128,0,c=1,-22718898336815,-330.60348267921654,-0.9999771154111078
all,4096,7,64<c<=128,1,1<c<=2,11907266789597,173.27353692376346,0.9999817539799178
all,4096,7,64<c<=128,2,2<c<=4,8168667693895,118.86975981025898,0.9999834054536082
all,4096,7,64<c<=128,3,4<c<=8,4516459975890,65.72314270146308,0.999984854414508
all,4096,7,64<c<=128,4,8<c<=16,-1932939681943,-28.12797439318092,-0.9999796530965817
all,4096,7,64<c<=128,5,16<c<=32,3544145511779,51.57410504440486,0.9999775059388214
all,4096,7,64<c<=128,6,32<c<=64,-2352004919537,-34.22617620580422,-0.9999637358155744
all,4096,7,64<c<=128,7,64<c<=128,512627312354,7.459709193120943,1.0
all,4096,7,64<c<=128,8,128<c<=256,-193620353712,-2.817546973703429,-0.9970427677728461
all,4096,7,64<c<=128,9,256<c<=512,277557939869,4.038999611933832,0.9904568734629193
all,4096,7,64<c<=128,10,512<c<=1024,-277365204880,-4.036194948712364,-0.9274300474334631
all,4096,7,64<c<=128,11,1024<c<=2048,-790303368605,-11.50042762463272,-0.9551692819831361
all,4096,7,64<c<=128,12,2048<c<=4096,-972163314746,-14.146838144311914,-0.9660027766981967
all,4096,7,64<c<=128,13,4096<c<=8192,-393658544925,-5.728485774670844,-0.7429055549040773
all,4096,7,64<c<=128,14,8192<c<=16384,493241768744,7.177612405852415,0.9948458625423972
all,4096,7,64<c<=128,15,16384<c<=32768,222370876305,3.235922141248011,0.9508476911522334
all,4096,7,64<c<=128,16,32768<c<=65536,48877511820,0.7112614085781388,0.5768850828343193
all,4096,7,64<c<=128,17,65536<c<=131072,-58075401073,-0.8451083132677013,-0.9041012013164597
all,4096,7,64<c<=128,18,131072<c<=262144,-166510349,-0.002423044483293779,-0.03602832243984494
all,4096,7,64<c<=128,19,262144<c<=524288,649938129,0.00945784455689136,0.5797198541266486
all,4096,7,64<c<=128,20,524288<c<=1048576,-3462762,-5.0389819080010056e-05,-0.14324166043531056
all,4096,8,128<c<=256,0,c=1,8580544776914,124.86336020685849,0.9969701945258059
all,4096,8,128<c<=256,1,1<c<=2,-4497589913639,-65.44854715523252,-0.9970670524663867
