N,pi_X_N,V_total_over_N3,V_c1_over_N3,V_c_ge_2_over_N3,twice_cross_over_N3,V_total_over_V_c1,corr_c1_c_ge_2
128,1924,0.008841514587402344,51.22545003890991,50.96555948257446,-102.18216800689697,0.00017260003729955504,-0.9999167141332277
256,6595,0.011671245098114014,146.59011632204056,146.03558337688446,-292.6140284538269,7.96182265963533e-05,-0.9999619109400801
512,23079,0.007441572844982147,441.6949291303754,441.21148647367954,-882.89897403121,1.6847766080614462e-05,-0.9999917214131603
1024,82174,0.009853309951722622,1382.2910355394706,1381.9489638581872,-2764.230146087706,7.12824557085921e-06,-0.999996443093027
2048,296212,0.008497015456669033,4450.731249602977,4450.668331499095,-8901.391084086616,1.909127956765981e-06,-0.9999990454542552
4096,1078362,0.009974221684387885,14652.537064323624,14655.994903799816,-29308.521993901755,6.807163592626821e-07,-0.99999966664169
