sector,N,block_index,cofactor_block,block_endpoint_value,block_norm2,block_norm2_over_N3,inner_prime_block,inner_prime_block_over_N3,corr_prime_block,minus_2_inner_prime_over_block_norm2,inner_cumulative_before_block,inner_cumulative_before_over_N3,minus_2_inner_before_over_block_norm2,cascade_energy_delta,cascade_energy_delta_over_N3,cascade_energy_after,cascade_energy_after_over_N3
all,128,0,c=1,-1924,107427555,51.22545003890991,107427555,51.22545003890991,1.0,-2.0,-91119,-0.04344892501831055,0.0016963804118971153,107245317,51.13855218887329,107245445,51.13861322402954
all,128,1,1<c<=2,1043,31798094,15.16251277923584,-58445615,-27.869040966033936,-0.9999851316803126,3.6760451742799427,-58395929,-27.845348834991455,3.672920081310534,-84993764,-40.52818489074707,22251681,10.61042833328247
all,128,2,2<c<=4,730,15631273,7.453571796417236,-40977366,-19.539530754089355,-0.999974715574574,5.242997931134592,-18648245,-8.892176151275635,2.386017440806005,-21665217,-10.330780506134033,586464,0.2796478271484375
all,128,3,4<c<=8,412,5038194,2.402398109436035,-23262691,-11.092515468597412,-0.9999186369108535,9.234535629235397,-1712951,-0.8167986869812012,0.679986122011181,1612292,0.7688007354736328,2198756,1.0484485626220703
all,128,4,8<c<=16,-196,1128031,0.5378870964050293,11002207,5.246261119842529,0.9994508656760277,-19.50692312533964,-1572771,-0.7499556541442871,2.7885244288499162,-2017511,-0.9620242118835449,181245,0.08642435073852539
all,128,5,16<c<=32,329,3002556,1.4317302703857422,-17905154,-8.537842750549316,-0.9969529364450072,11.926607863433688,724649,0.34553956985473633,-0.4826880830865436,4451854,2.122809410095215,4633099,2.2092337608337402
all,128,6,32<c<=64,-280,2680265,1.2780499458312988,16902232,8.059612274169922,0.9960871675483379,-12.612358852576145,-3498373,-1.668154239654541,2.610467994769174,-4316481,-2.058258533477783,316618,0.15097522735595703
all,128,7,64<c<=128,-98,416824,0.19875717163085938,6443796,3.072641372680664,0.9629585170188819,-30.918545957046618,-346351,-0.16515302658081055,1.6618572826900562,-275878,-0.13154888153076172,40740,0.019426345825195312
all,128,8,128<c<=256,-86,61946,0.02953815460205078,1166442,0.5562028884887695,0.45216679747613836,-37.65996190230201,-15571,-0.007424831390380859,0.5027281826106609,30804,0.014688491821289062,71544,0.034114837646484375
all,128,9,256<c<=512,53,45661,0.02177286148071289,-2019938,-0.9631814956665039,-0.9120265565773901,88.47541665754144,-49614,-0.023657798767089844,2.1731455728083047,-53567,-0.025542736053466797,17977,0.008572101593017578
all,128,10,512<c<=1024,-1,52,2.47955322265625e-05,28505,0.013592243194580078,0.38138317311832737,-1096.3461538461538,135,6.437301635742188e-05,-5.1923076923076925,322,0.00015354156494140625,18299,0.008725643157958984
all,128,11,1024<c<=2048,-1,7,3.337860107421875e-06,12932,0.0061664581298828125,0.4715837484477375,-3694.8571428571427,118,5.626678466796875e-05,-33.714285714285715,243,0.00011587142944335938,18542,0.008841514587402344
all,128,12,2048<c<=4096,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,13,4096<c<=8192,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,14,8192<c<=16384,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,15,16384<c<=32768,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,16,32768<c<=65536,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,17,65536<c<=131072,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,18,131072<c<=262144,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,19,262144<c<=524288,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
all,128,20,524288<c<=1048576,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,18542,0.008841514587402344
