sector,N,block_index,cofactor_block,block_endpoint_value,block_norm2,block_norm2_over_N3,inner_prime_block,inner_prime_block_over_N3,corr_prime_block,minus_2_inner_prime_over_block_norm2,inner_cumulative_before_block,inner_cumulative_before_over_N3,minus_2_inner_before_over_block_norm2,cascade_energy_delta,cascade_energy_delta_over_N3,cascade_energy_after,cascade_energy_after_over_N3
high_lambda_16,1024,0,c=1,-82170,1483985546139,1382.0692395223305,1483985546139,1382.0692395223305,1.0000000000000002,-2.0,-29766911,-0.027722596190869808,4.011752146433889e-05,1483926012317,1382.0137943299487,1483926013341,1382.013795283623
high_lambda_16,1024,1,1<c<=2,43459,416449976496,387.84926430881023,-786131502763,-732.1420151395723,-0.9999975678403854,3.7753946314392492,-786115711301,-732.1273081945255,3.7753187929813734,-1155781446106,-1076.4053520802408,328144567235,305.6084432033822
high_lambda_16,1024,2,2<c<=4,29984,198647923264,185.0052953362465,-542942964892,-505.6550399325788,-0.9999939214837386,5.46638450551972,-255309450120,-237.7754544094205,2.5704718773293966,-311970976976,-290.5456134825945,16173590259,15.062829720787704
high_lambda_16,1024,3,4<c<=8,16741,62056069212,57.79421814903617,-303459017618,-282.6182335782796,-0.999984067756362,9.780155961258309,-31667425669,-29.492588405497372,1.0206068824893073,-1278782126,-1.1909586619585752,14894808133,13.871871058829129
high_lambda_16,1024,4,8<c<=16,-7240,11774464616,10.965824700891972,132181022847,123.10317051317543,0.999962441559131,-22.45214999710183,-13237864555,-12.328722099773586,2.2485718012199767,-14701264494,-13.6916194986552,193543639,0.18025156017392874
high_lambda_16,1024,5,16<c<=32,13439,40377500750,37.604477955028415,-244772907614,-227.96253451518714,-0.9999511734009426,12.124222800689317,2711291505,2.5250869849696755,-0.1342971434407069,45800083760,42.654651924967766,45993627399,42.834903485141695
high_lambda_16,1024,6,32<c<=64,-8968,18169856337,16.921997384168208,164193889567,152.917475967668,0.9999226561344682,-18.07321824913337,-28905359883,-26.920214186422527,3.181682820919048,-39640863429,-36.918430988676846,6352763970,5.9164724964648485
high_lambda_16,1024,7,64<c<=128,1932,758799419,0.7066870285198092,-33496444856,-31.19599526375532,-0.9982064811400534,88.28800870760814,2184735797,2.0346937673166394,-5.758401343741672,5128271013,4.776074563153088,11481034983,10.692547059617937
high_lambda_16,1024,8,128<c<=256,-1070,426903643,0.3975849999114871,24042588427,22.391405354253948,0.9552157091250996,-112.63707312518764,-2125975939,-1.9799693850800395,9.95998030871805,-3825048235,-3.562353770248592,7655986748,7.130193289369345
high_lambda_16,1024,9,256<c<=512,-149,486415092,0.45300935581326485,18735297022,17.448605058714747,0.6973362251295123,-77.03419293577346,-1308299171,-1.2184485523030162,5.379352707255227,-2130183250,-1.9838877487927675,5525803498,5.146305540576577
high_lambda_16,1024,10,512<c<=1024,-5117,7142321632,6.651805371046066,100708749386,93.79233176447451,0.9782112782469407,-28.20056406723298,-6195856872,-5.770341373980045,1.7349699974978667,-5249392112,-4.888877376914024,276411386,0.25742816366255283
high_lambda_16,1024,11,1024<c<=2048,-3344,798907859,0.7440409241244197,22263734846,20.734718857333064,0.6465987174674938,-55.7354257945784,-36838578,-0.034308599308133125,0.09222234475477853,725230703,0.6754237255081534,1001642089,0.9328518891707063
high_lambda_16,1024,12,2048<c<=4096,2528,1155464230,1.0761099215596914,-40670095772,-37.87697830423713,-0.9821596925474328,70.39611390133643,-1043644491,-0.9719696743413806,1.8064505397973245,-931824752,-0.8678294271230698,69817337,0.06502246204763651
high_lambda_16,1024,13,4096<c<=8192,825,70597656,0.06574919074773788,-8479318453,-7.896980692632496,-0.8284207525655268,240.21529703479106,1697689,0.001581096090376377,-0.048094769605381796,73993034,0.06891138292849064,143810371,0.13393384497612715
high_lambda_16,1024,14,8192<c<=16384,-38,6633340,0.006177779287099838,2849379315,2.6536912797018886,0.9081744982626099,-859.1084777804243,-25630299,-0.023870076052844524,7.7277205751552005,-44627258,-0.04156237281858921,99183113,0.09237147215753794
high_lambda_16,1024,15,16384<c<=32768,-81,303686,0.0002828296273946762,461715445,0.43000601697713137,0.6877762603200397,-3040.7423786410964,-3037483,-0.0028288764879107475,20.004102922097164,-5771280,-0.005374923348426819,93411833,0.08699654880911112
high_lambda_16,1024,16,32768<c<=65536,10,5925,5.51808625459671e-06,-68226967,-0.06354131456464529,-0.7276073081524803,23030.19983122363,425023,0.0003958335146307945,-143.4676793248945,855971,0.0007971851155161858,94267804,0.0877937339246273
high_lambda_16,1024,17,65536<c<=131072,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,94267804,0.0877937339246273
high_lambda_16,1024,18,131072<c<=262144,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,94267804,0.0877937339246273
high_lambda_16,1024,19,262144<c<=524288,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,94267804,0.0877937339246273
high_lambda_16,1024,20,524288<c<=1048576,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,94267804,0.0877937339246273
