dyadic_base_N,worst_local_ratio,ratio_over_N_0p10,maximizing_start,maximizing_H,window_energy
128,0.1761926535589087,0.10845930055073336,243,1,10404
256,0.14583006043087107,0.0837573752630299,309,1,13924
512,0.18300251663552902,0.09806862045365827,547,1,54756
1024,0.15783681870079924,0.07891840935039962,1032,1,168100
2048,0.16647939658241367,0.077665384711266,2544,1,1077444
