block_index,cofactor_block,A_block_sum_mu_over_c,beta_hat_inner_over_prime_norm,block_norm_ratio,corr_prime,cascade_energy_delta_over_N3,V_after_over_N3
0,c=1,1.0,1.0,1.0,1.0,14652.492160308393,14652.492160367998
1,1<c<=2,-0.5,-0.5241098872490396,0.2746917418879477,-0.9999989661574165,-11334.124610490951,3318.3675498770463
2,2<c<=4,-0.3333333333333333,-0.3595506267798752,0.1292773551052729,-0.9999972853388595,-3120.0153995914297,198.35215028561652
3,4<c<=8,-0.1761904761904762,-0.19879451246995003,0.03951983051764094,-0.9999927589321554,-98.64762346053612,99.70452682508039
4,8<c<=16,0.07026307026307026,0.08507871416137527,0.0072386880851405344,0.9999792445190098,-99.55601393860707,0.14851288647332694
5,16<c<=32,-0.12347239416371883,-0.15599517999570217,0.024335944890876492,-0.9999702347586588,344.6597847381199,344.80829762459325
6,32<c<=64,0.07871637753565425,0.10352273063492166,0.010717994676140048,0.9999515327615731,-308.3373910583905,36.47090656620276
7,64<c<=128,-0.016552324467306645,-0.022562883221375937,0.0005091070004036391,-0.9999771154111078,40.42654505200335,76.8974516182061
8,128<c<=256,0.005119079788342227,0.008521620498806247,7.306006079899248e-05,0.9969701945258059,-17.046979490638478,59.85047212756763
9,256<c<=512,-0.009113879331319463,-0.012219054437632793,0.00015213942006080073,-0.9906419651550775,25.056415984916384,84.90688811248401
10,512<c<=1024,0.003068906496986059,0.01219332402913365,0.00017327951288852018,0.9262932638760117,-24.6316953500791,60.27519276240491
11,1024<c<=2048,0.005769367442722904,0.03473339548438266,0.0013262718685395612,0.9537421192089678,-44.57085049619491,15.704342266210006
12,2048<c<=4096,-0.008391400732703138,0.04281014152696711,0.001962127813094807,0.9664580695693507,-11.342440108637675,4.361902157572331
13,4096<c<=8192,0.006991505123212529,0.017396846006707205,0.00054397349650136,0.7459017892876644,10.287857703748159,14.64975986132049
14,8192<c<=16384,-0.004715077971549285,-0.021715935043614888,0.00047622663646774987,-0.9951113792797759,-13.097078398568556,1.5526814627519343
15,16384<c<=32768,0.0027618083580770066,-0.009801465105229678,0.00010595939956500492,-0.9521848205043388,-1.5013358677533688,0.0513455949985655
16,32768<c<=65536,-0.0007423510736773665,-0.0021644412139275003,1.3907374413470496e-05,-0.5803944107239166,0.09128932247404009,0.1426349174726056
17,65536<c<=131072,-0.00027579959169390933,0.002561897934089449,7.99384879131781e-06,0.906116124775834,-0.13101961494248826,0.011615302530117333
18,131072<c<=262144,0.00017787443719465354,7.764652019631607e-06,4.1380903299086424e-08,0.038169987161628734,-0.00202505178458523,0.009590250745532103
19,262144<c<=524288,-0.0003064343425532991,-2.872439130635858e-05,2.4350801998502794e-09,-0.58209544345935,0.00038960264646448195,0.009979853391996585
20,524288<c<=1048576,0.00046653752773189935,1.5306724598849374e-07,1.1321713971793993e-12,0.14385540331935048,-5.631707608699799e-06,0.009974221684387885
