sector,N,cofactor_cutoff,number_of_blocks,top_eigenvalue_share,lambda2_over_lambda1
high_lambda_16,4096,32,6,0.999998118309323,1.8753420481052954e-06
high_lambda_16,4096,64,7,0.9999976049681489,2.384608303302987e-06
high_lambda_16,4096,1024,11,0.9999802883345728,1.9055493363661356e-05
high_lambda_16,4096,1048576,21,0.9996369771773091,0.0002650882740738311
