sector,N,block_index,cofactor_block,block_endpoint_value,block_norm2,block_norm2_over_N3,inner_prime_block,inner_prime_block_over_N3,corr_prime_block,minus_2_inner_prime_over_block_norm2,inner_cumulative_before_block,inner_cumulative_before_over_N3,minus_2_inner_before_over_block_norm2,cascade_energy_delta,cascade_energy_delta_over_N3,cascade_energy_after,cascade_energy_after_over_N3
high_lambda_16,128,0,c=1,-1920,106700647,50.878833293914795,106700647,50.878833293914795,0.9999999999999999,-2.0,-90609,-0.04320573806762695,0.0016983777052448426,106519429,50.79242181777954,106519557,50.79248285293579
high_lambda_16,128,1,1<c<=2,1039,31402628,14.973939895629883,-57884437,-27.601450443267822,-0.9999891546385012,3.6865982681449463,-57835255,-27.577998638153076,3.683465918839659,-84267882,-40.18205738067627,22251675,10.610425472259521
high_lambda_16,128,2,2<c<=4,726,15354547,7.321618556976318,-40475589,-19.300264835357666,-0.9999796150152751,5.272130659406624,-18483055,-8.81340742111206,2.4075024811868433,-21611563,-10.305196285247803,640112,0.30522918701171875
high_lambda_16,128,3,4<c<=8,409,4921285,2.346651554107666,-22912437,-10.925501346588135,-0.9998814219600644,9.311566796070538,-1770832,-0.8443984985351562,0.7196624458855766,1379621,0.6578545570373535,2019733,0.9630837440490723
high_lambda_16,128,4,8<c<=16,-185,933450,0.44510364532470703,9969941,4.754038333892822,0.9989954996912174,-21.36148909957684,-1370057,-0.6532940864562988,2.935469494884568,-1806664,-0.8614845275878906,213069,0.10159921646118164
high_lambda_16,128,5,16<c<=32,325,2890097,1.378105640411377,-17504592,-8.346839904785156,-0.9968097025599001,12.113497920658027,766276,0.3653888702392578,-0.530277011463629,4422649,2.1088833808898926,4635718,2.210482597351074
high_lambda_16,128,6,32<c<=64,-226,1407467,0.6711325645446777,12228757,5.831125736236572,0.9978831244837473,-17.376971538231448,-2550108,-1.2159862518310547,3.6236842497905815,-3692749,-1.7608399391174316,942969,0.4496426582336426
high_lambda_16,128,7,64<c<=128,-54,182076,0.08682060241699219,4210289,2.007622241973877,0.9552169693538355,-46.24759990333707,-398865,-0.19019365310668945,4.381302313319712,-615654,-0.2935667037963867,327315,0.15607595443725586
high_lambda_16,128,8,128<c<=256,-86,61779,0.02945852279663086,1163186,0.5546503067016602,0.4530490278966632,-37.656355719581086,-64703,-0.030852794647216797,2.094659997733858,-67627,-0.032247066497802734,259688,0.12382888793945312
high_lambda_16,128,9,256<c<=512,53,45661,0.02177286148071289,-2014598,-0.9606351852416992,-0.9127086421955827,88.2415190206084,68639,0.0327296257019043,-3.0064606557018023,182939,0.08723211288452148,442627,0.2110610008239746
high_lambda_16,128,10,512<c<=1024,-1,52,2.47955322265625e-05,28417,0.013550281524658203,0.3814986706995975,-1092.9615384615386,-1829,-0.0008721351623535156,70.34615384615384,-3606,-0.0017194747924804688,439021,0.20934152603149414
high_lambda_16,128,11,1024<c<=2048,-1,7,3.337860107421875e-06,12904,0.006153106689453125,0.472162843862738,-3686.8571428571427,-559,-0.0002665519714355469,159.71428571428572,-1111,-0.0005297660827636719,437910,0.20881175994873047
high_lambda_16,128,12,2048<c<=4096,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,13,4096<c<=8192,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,14,8192<c<=16384,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,15,16384<c<=32768,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,16,32768<c<=65536,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,17,65536<c<=131072,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,18,131072<c<=262144,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,19,262144<c<=524288,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
high_lambda_16,128,20,524288<c<=1048576,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,437910,0.20881175994873047
