N,C,R_C_X_N,V_C,V_C_over_N3,V_C_over_V_1,V_C_over_V_total
128,1,-1923,107245445,51.13861322402954,1.0,5783.920019415381
128,2,-880,22251681,10.61042833328247,0.207483693130277,1200.0690863984469
128,4,-150,586464,0.2796478271484375,0.005468428053051577,31.628950490777694
128,8,262,2198756,1.0484485626220703,0.020502092186759073,118.58246143889548
128,16,66,181245,0.08642435073852539,0.001690001845766037,9.774835508575126
128,32,395,4633099,2.2092337608337402,0.0432008930542458,249.87051019307518
128,64,115,316618,0.15097522735595703,0.002952274569796414,17.075719987056413
128,128,17,40740,0.019426345825195312,0.00037987627353310905,2.197173983389063
128,256,-69,71544,0.034114837646484375,0.0006671052556124878,3.858483442994283
128,512,-16,17977,0.008572101593017578,0.00016762483478902063,0.9695286376874124
128,1024,-17,18299,0.008725643157958984,0.00017062729330835448,0.9868946176248516
128,2048,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,4096,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,8192,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,16384,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,32768,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,65536,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,131072,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,262144,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,524288,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,1048576,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,2097152,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,4194304,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,8388608,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
128,16777216,-18,18542,0.008841514587402344,0.00017289312380586421,1.0
256,1,-6594,2458151055,146.5172204375267,1.0,12553.692361511867
256,2,-3055,523796513,31.220705091953278,0.21308556768086817,2675.0106633437344
256,4,-591,18283133,1.089759647846222,0.007437758132402486,93.37132745351384
256,8,806,39435108,2.350515604019165,0.016042589376184614,201.39373171068019
256,16,179,2271441,0.13538843393325806,0.0009240445152383038,11.600170572644029
256,32,1324,102148399,6.088519036769867,0.04155497230010546,521.668338346671
256,64,494,12935150,0.770995020866394,0.0052621461051749726,66.05936336569447
256,128,521,10877624,0.6483569145202637,0.004425124313607327,55.55164929447273
256,256,11,1344714,0.08015120029449463,0.0005470428667370891,6.867407857576949
256,512,-159,1080117,0.0643799901008606,0.000439402207526258,5.516120136253837
256,1024,-20,217913,0.012988626956939697,8.864914935018101e-05,1.1128741490518919
256,2048,8,188402,0.011229634284973145,7.664378461070611e-05,0.9621624934247821
256,4096,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,8192,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,16384,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,32768,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,65536,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,131072,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,262144,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,524288,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,1048576,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,2097152,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,4194304,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,8388608,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
256,16777216,4,195811,0.011671245098114014,7.965783860259963e-05,1.0
512,1,-23078,59274843043,441.63199546188116,1.0,59346.593074026496
512,2,-10788,12890477134,96.04153881967068,0.21746961227124306,12906.080585427782
512,4,-2270,547647645,4.080292917788029,0.009239124338173577,548.3105524579216
512,8,2517,748806730,5.57904489338398,0.01263279144335802,749.7131331780122
512,16,413,24330603,0.18127711862325668,0.00041047098146425705,24.360054305655538
512,32,4310,2146866451,15.99540152400732,0.03621884666050637,2149.4651543716354
512,64,1634,302468172,2.253563493490219,0.005102808484546795,302.8342986670885
512,128,2068,447525531,3.334325037896633,0.007550007862110232,448.06724429835674
512,256,1419,149849927,1.116468958556652,0.002528052700051753,150.03131485966534
512,512,192,18176417,0.13542485982179642,0.0003066463961248148,18.19841888843612
512,1024,-619,30696118,0.22870390117168427,0.0005178608061050787,30.733274528905447
512,2048,-228,4288975,0.031955353915691376,7.235742483347666e-05,4.2941666474768
512,4096,110,1019759,0.007597796618938446,1.720390890381999e-05,1.0209933809976262
512,8192,40,1008337,0.007512696087360382,1.7011213328199246e-05,1.0095575550840967
