N,X_N,S_N,V_total,V_total_over_N3,V_A_over_N3,V_T_over_N3,inner_A_T_over_N3
128,16640,-18,18542,0.008841514587402344,0.4904899597167969,0.4696817398071289,0.4756650924682617
256,66048,4,195811,0.011671245098114014,1.3860247135162354,1.3388981223106384,1.3566257953643799
512,263168,38,998791,0.007441572844982147,3.709722213447094,3.6689054518938065,3.685593046247959
1024,1050624,288,10579911,0.009853309951722622,9.83199651259929,9.807088559493423,9.814615881070495
2048,4198400,263,72988807,0.008497015456669033,26.661079005221836,26.65845075948164,26.655516374623403
4096,16785408,329,685423295,0.009974221684387885,72.82178813549399,73.06424298745696,72.93802845063328
