sector,N,block_index,cofactor_block,block_endpoint_value,block_norm2,block_norm2_over_N3,inner_prime_block,inner_prime_block_over_N3,corr_prime_block,minus_2_inner_prime_over_block_norm2,inner_cumulative_before_block,inner_cumulative_before_over_N3,minus_2_inner_before_over_block_norm2,cascade_energy_delta,cascade_energy_delta_over_N3,cascade_energy_after,cascade_energy_after_over_N3
all,512,0,c=1,-23079,59283289857,441.6949291303754,59283289857,441.6949291303754,1.0000000000000002,-2.0,-4223663,-0.03146874159574509,0.00014249084388494955,59274842531,441.6319916471839,59274843043,441.63199546188116
all,512,1,1<c<=2,12290,16881601333,125.77773133665323,-31635241626,-235.70091743767262,-0.9999958271469109,3.747895830730195,-31632983621,-235.68409398943186,3.7476283199703495,-46384365909,-345.5904566422105,12890477134,96.04153881967068
all,512,2,2<c<=4,8518,8126608513,60.5479517057538,-21949086369,-163.53343702107668,-0.9999899375184417,5.40178263389664,-10234719001,-76.25459880381823,2.5188167941467072,-12342829489,-91.96124590188265,547647645,4.080292917788029
all,512,3,4<c<=8,4787,2573636843,19.175088725984097,-12351765986,-92.02782799303532,-0.9999753035011877,9.598686014769644,-1186238879,-8.838168375194073,0.9218385897967191,201159085,1.498751975595951,748806730,5.57904489338398
all,512,4,8<c<=16,-2104,505783617,3.768381603062153,5475300578,40.79416824877262,0.9999066082396126,-21.650762871585854,-615129872,-4.583074688911438,2.432383538433195,-724476127,-5.397767774760723,24330603,0.18127711862325668
all,512,5,16<c<=32,3897,1719473810,12.811078205704689,-10095892212,-75.22025862336159,-0.9999557324326412,11.743002019902821,201531019,1.5015230998396873,-0.2344101059614278,2122535848,15.814124405384064,2146866451,15.99540152400732
all,512,6,32<c<=64,-2676,838418941,6.246707893908024,7046683474,52.501883164048195,0.9995121446919266,-16.80945677490366,-1341408610,-9.994272962212563,3.19985282870655,-1844398279,-13.741838030517101,302468172,2.253563493490219
all,512,7,64<c<=128,434,16336147,0.1217137798666954,-903533101,-6.7318461909890175,-0.9181277270200964,110.61765066144422,64360606,0.4795238822698593,-7.879533160420263,145057359,1.080761544406414,447525531,3.334325037896633
all,512,8,128<c<=256,-649,104177590,0.7761835306882858,2349962712,17.508586585521698,0.9456004490956309,-45.11455317789555,-200926597,-1.4970198050141335,3.857386161457565,-297675604,-2.217856079339981,149849927,1.116468958556652
all,512,9,256<c<=512,-1227,227325356,1.6937058866024017,3558114889,26.51002175360918,0.9692367639836962,-31.304162031093444,-179499433,-1.3373749926686287,1.5792293139529934,-131673510,-0.9810440987348557,18176417,0.13542485982179642
all,512,10,512<c<=1024,-811,22522135,0.16780298203229904,482231702,3.5929061621427536,0.4173350213295016,-42.82291194862299,-5001217,-0.0372619703412056,0.4441157110549244,12519701,0.09327904134988785,30696118,0.22870390117168427
all,512,11,1024<c<=2048,391,14558507,0.10846932977437973,-901172652,-6.714259475469589,-0.9700261356001982,123.80014681450508,-20482825,-0.1526089385151863,2.81386339959173,-26407143,-0.1967485472559929,4288975,0.031955353915691376
all,512,12,2048<c<=4096,338,4468598,0.033293649554252625,-414898955,-3.0912381038069725,-0.8061030222597104,185.69535903654793,-3868907,-0.028825603425502777,1.731597695742602,-3269216,-0.02435755729675293,1019759,0.007597796618938446
all,512,13,4096<c<=8192,-70,232954,0.0017356425523757935,97392698,0.7256321460008621,0.8287530940191993,-836.1539016286478,-122188,-0.0009103715419769287,1.0490311391948626,-11422,-8.510053157806396e-05,1008337,0.007512696087360382
all,512,14,8192<c<=16384,-2,680,5.066394805908203e-06,-4218663,-0.03143148869276047,-0.664437643759507,12407.832352941177,-5113,-3.809481859207153e-05,15.038235294117648,-9546,-7.112324237823486e-05,998791,0.007441572844982147
all,512,15,16384<c<=32768,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,998791,0.007441572844982147
all,512,16,32768<c<=65536,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,998791,0.007441572844982147
all,512,17,65536<c<=131072,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,998791,0.007441572844982147
all,512,18,131072<c<=262144,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,998791,0.007441572844982147
all,512,19,262144<c<=524288,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,998791,0.007441572844982147
all,512,20,524288<c<=1048576,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,998791,0.007441572844982147
