sector,N,block_index,cofactor_block,block_endpoint_value,block_norm2,block_norm2_over_N3,inner_prime_block,inner_prime_block_over_N3,corr_prime_block,minus_2_inner_prime_over_block_norm2,inner_cumulative_before_block,inner_cumulative_before_over_N3,minus_2_inner_before_over_block_norm2,cascade_energy_delta,cascade_energy_delta_over_N3,cascade_energy_after,cascade_energy_after_over_N3
all,256,0,c=1,-6595,2459374045,146.59011632204056,2459374045,146.59011632204056,1.0,-2.0,-611623,-0.03645557165145874,0.0004973810317657476,2458150799,146.51720517873764,2458151055,146.5172204375267
all,256,1,1<c<=2,3539,712551456,42.47137641906738,-1323782957,-78.9036129117012,-0.9999916574464103,3.715613646855,-1323452999,-78.8839458823204,3.71468751584447,-1934354542,-115.29651534557343,523796513,31.220705091953278
all,256,2,2<c<=4,2464,346571378,20.65726387500763,-923211413,-55.02768832445145,-0.9999827893479758,5.327684117065201,-426042379,-25.394104659557343,2.4586126036062907,-505513380,-30.130945444107056,18283133,1.089759647846222
all,256,3,4<c<=8,1397,111153221,6.6252482533454895,-522824188,-31.162750005722046,-0.9999593666922887,9.407270132099905,-45000623,-2.682246148586273,0.809704344960008,21151975,1.2607559561729431,39435108,2.350515604019165
all,256,4,8<c<=16,-627,22923333,1.3663371205329895,237391024,14.14960765838623,0.9997999701563276,-20.711737163177798,-30043500,-1.7907321453094482,2.6212156844731087,-37163667,-2.215127170085907,2271441,0.13538843393325806
all,256,5,16<c<=32,1145,74276762,4.427240014076233,-427324797,-25.47054272890091,-0.9998142465406372,11.506285020879075,12800098,0.762945294380188,-0.34465955853056707,99876958,5.953130602836609,102148399,6.088519036769867
all,256,6,32<c<=64,-830,42755695,2.548438012599945,323759196,19.29755187034607,0.9984189952602963,-15.14461154239219,-65984472,-3.932981014251709,3.086581658887781,-89213249,-5.317524015903473,12935150,0.770995020866394
all,256,7,64<c<=128,27,791964,0.04720473289489746,21624560,1.288924217224121,0.4899844150103748,-54.6099570182483,-1424745,-0.08492141962051392,3.5980044547479433,-2057526,-0.12263810634613037,10877624,0.6483569145202637
all,256,8,128<c<=256,-510,17792894,1.0605391263961792,204460726,12.186808943748474,0.9774044457957377,-22.98229012098875,-13662902,-0.8143724203109741,1.5357706284317774,-9532910,-0.568205714225769,1344714,0.08015120029449463
all,256,9,256<c<=512,-170,833661,0.049690067768096924,-5812888,-0.34647512435913086,-0.1283763193805576,13.945447849905417,-549129,-0.03273063898086548,1.3173916016222422,-264597,-0.015771210193634033,1080117,0.0643799901008606
all,256,10,512<c<=1024,139,672802,0.04010212421417236,-38006085,-2.265339195728302,-0.9343233567260447,112.97851373806856,-767503,-0.04574674367904663,2.2815122428292427,-862204,-0.0513913631439209,217913,0.012988626956939697
all,256,11,1024<c<=2048,28,10841,0.0006461739540100098,-685209,-0.040841639041900635,-0.13270157998607757,126.4106632229499,-20176,-0.0012025833129882812,3.7221658518586844,-29511,-0.0017589926719665527,188402,0.011229634284973145
all,256,12,2048<c<=4096,-4,325,1.9371509552001953e-05,399274,0.023798584938049316,0.4465982916524869,-2457.070769230769,3542,0.0002111196517944336,-21.796923076923076,7409,0.00044161081314086914,195811,0.011671245098114014
all,256,13,4096<c<=8192,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
all,256,14,8192<c<=16384,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
all,256,15,16384<c<=32768,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
all,256,16,32768<c<=65536,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
all,256,17,65536<c<=131072,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
all,256,18,131072<c<=262144,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
all,256,19,262144<c<=524288,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
all,256,20,524288<c<=1048576,0,0,0.0,0,0.0,nan,nan,0,0.0,nan,0,0.0,195811,0.011671245098114014
